endpoint,control,seed,wad_minus_control_worst_balanced,wad_minus_control_exact_trial,wad_minus_control_truth_worst_balanced,wad_minus_control_truth_exact_trial
linear,d0,0,-0.030000030994415283,-0.029999971389770508,-0.03125,-0.03125
linear,d0,1,0.03831058740615845,0.0639999508857727,0.03125,0.046875
linear,d0,42,-0.021186470985412598,-0.009999990463256836,-0.03125,-0.015625
linear,scalar,0,-0.030000030994415283,-0.029999971389770508,-0.03125,-0.03125
linear,scalar,1,0.06484818458557129,0.07199996709823608,0.0625,0.0625
linear,scalar,42,0.0026917457580566406,0.013999998569488525,0.0,0.015625
linear,fixed_matched,0,-0.05399996042251587,-0.06199997663497925,-0.03125,-0.046875
linear,fixed_matched,1,0.0398867130279541,0.04399996995925903,0.03125,0.03125
linear,fixed_matched,42,0.003813505172729492,0.013999998569488525,-0.015625,0.0
mlp,d0,0,0.0,0.0,0.0,0.0
mlp,d0,1,0.0,0.0,0.0,0.0
mlp,d0,42,0.0,0.0,0.0,0.0
mlp,scalar,0,0.0,0.0,0.0,0.0
mlp,scalar,1,0.0,0.0,0.0,0.0
mlp,scalar,42,0.0,0.0,0.0,0.0
mlp,fixed_matched,0,0.0,0.0,0.0,0.0
mlp,fixed_matched,1,0.0,0.0,0.0,0.0
mlp,fixed_matched,42,0.0,0.0,0.0,0.0
opponent_parallel,d0,0,0.06000000238418579,0.22600001096725464,0.0625,0.234375
opponent_parallel,d0,1,0.1541430950164795,0.20399999618530273,0.140625,0.1875
opponent_parallel,d0,42,-0.029661059379577637,0.10199999809265137,0.0,0.109375
opponent_parallel,scalar,0,-0.02799999713897705,0.1600000262260437,-0.03125,0.15625
opponent_parallel,scalar,1,0.10418808460235596,0.15000003576278687,0.09375,0.140625
opponent_parallel,scalar,42,-0.07203388214111328,0.019999980926513672,-0.0625,0.03125
opponent_parallel,fixed_matched,0,-0.08799999952316284,0.050000011920928955,-0.09375,0.046875
opponent_parallel,fixed_matched,1,0.1758556365966797,0.1860000491142273,0.171875,0.1875
opponent_parallel,fixed_matched,42,0.03199964761734009,0.17799997329711914,0.046875,0.1875
