condition,effect_type,level,n,balanced_accuracy_mean,balanced_accuracy_sd
d0,operation,XOR,9,0.5,0.0
d0,operation,NAND,9,0.5,0.0
d0,operation,NOR,9,0.5,0.0
d0,position,0,9,0.5,0.0
d0,position,1,9,0.5,0.0
d0,position,2,9,0.5,0.0
scalar,operation,XOR,9,0.5196180939674377,0.04021060616497599
scalar,operation,NAND,9,0.715680354171329,0.17018962824453418
scalar,operation,NOR,9,0.603754546907213,0.15265886789277566
scalar,position,0,9,0.7292679283354018,0.14058980442210003
scalar,position,1,9,0.6097850667105781,0.1621832438101638
scalar,position,2,9,0.5,0.0
fixed_matched,operation,XOR,9,0.6254754463831583,0.13428240841817388
fixed_matched,operation,NAND,9,0.6542709204885695,0.14206141524422633
fixed_matched,operation,NOR,9,0.6032987568113539,0.156020760795596
fixed_matched,position,0,9,0.8037606080373129,0.02972675541509591
fixed_matched,position,1,9,0.5792845156457689,0.08536344098217273
fixed_matched,position,2,9,0.5,0.0
fixed_full_support,operation,XOR,9,0.5760292344623141,0.12055045154101962
fixed_full_support,operation,NAND,9,0.740887357128991,0.18429219256332402
fixed_full_support,operation,NOR,9,0.6508457660675049,0.1439212454945482
fixed_full_support,position,0,9,0.5189181632465787,0.05759585166183764
fixed_full_support,position,1,9,0.6656161215570238,0.15247343615381764
fixed_full_support,position,2,9,0.7832280728552077,0.13608966550631682
w_and_d,operation,XOR,9,0.6857700679037306,0.22732014040283158
w_and_d,operation,NAND,9,0.850289351410336,0.16403146381497954
w_and_d,operation,NOR,9,0.6648212538825141,0.15547562918001115
w_and_d,position,0,9,0.9197844001981947,0.11293218929530445
w_and_d,position,1,9,0.7221004433102078,0.15803894321596443
w_and_d,position,2,9,0.5589958296881782,0.1216284496504392
