control,seed,wad_minus_control_primary,wad_minus_control_exact,wad_minus_control_mean_balanced
d0,7,0.0,0.2760000055034955,0.21123335096571183
d0,19,0.0,0.28599999845027924,0.22257390949461198
d0,73,0.0,0.3893333251277606,0.26707341273625695
scalar,7,0.0,0.16866666823625562,0.08950028816858935
scalar,19,0.0,0.15066666901111606,0.11002599530749857
scalar,73,0.0,0.3033333321412405,0.1623013946745131
fixed_matched,7,0.0,0.18133334070444104,0.0978887809647454
fixed_matched,19,0.0,0.21733333667119345,0.09752340449227226
fixed_matched,73,0.0,0.2586666593949,0.12242336405648124
fixed_full_support,7,0.0,0.011333333949247959,0.04369521803326082
fixed_full_support,19,0.01369178295135498,0.042666663726170895,0.054831577671898724
fixed_full_support,73,0.018465161323547363,0.1999999930461248,0.13459151983261108
