setting,readout_type,condition,n,worst_mean,worst_sd,exact_mean,exact_sd,balanced_mean,hidden_spikes_mean,trainable_parameters,delay_value_storage_elements,trainable_delay_parameters,model_scalar_storage_elements,neuron_updates_per_trial,dense_synapse_macs_per_trial,decoder_weight_macs_per_trial,mean_synaptic_events_total
primary,linear,d0,5,0.6727999925613404,0.026290695231330916,0.4176000118255615,0.055504961979349184,0.7593505183855693,10.781200218200684,178.0,70.0,0.0,248.0,1400.0,2800.0,105.0,314.4959964752197
primary,linear,fixed_heterogeneous,5,0.6443999886512757,0.05884555453847374,0.3435999989509583,0.07260026838585391,0.703007439772288,9.155200099945068,178.0,70.0,0.0,248.0,1400.0,2800.0,105.0,314.4959964752197
primary,linear,scalar,5,0.6991999983787537,0.018793622942629137,0.42920000553131105,0.0438086769846768,0.760449739297231,10.783599948883056,179.0,1.0,1.0,179.0,1400.0,2800.0,105.0,314.4959964752197
primary,linear,w_and_d,5,0.6784000039100647,0.035507758840056323,0.43760000467300414,0.01645600215176297,0.7631584922472636,9.852399826049805,248.0,70.0,70.0,248.0,1400.0,2800.0,105.0,314.4959964752197
primary,mlp,d0,5,0.7748000025749207,0.044980011572896585,0.5667999982833862,0.10141597624653308,0.8335694750150046,10.730400085449219,1438.0,70.0,0.0,1508.0,1400.0,2800.0,1330.0,314.4959964752197
primary,mlp,fixed_heterogeneous,5,0.8092000007629394,0.09369740717790905,0.745200002193451,0.125869787406767,0.9083755612373352,9.237199878692627,1438.0,70.0,0.0,1508.0,1400.0,2800.0,1330.0,314.4959964752197
primary,mlp,scalar,5,0.7804000020027161,0.04570338636744426,0.6352000117301941,0.09296880522295344,0.8523953914642334,10.910400009155273,1439.0,1.0,1.0,1439.0,1400.0,2800.0,1330.0,314.4959964752197
primary,mlp,w_and_d,5,0.769599997997284,0.06076840544715938,0.6572000026702881,0.057490854923458824,0.8643061121304829,10.46200008392334,1508.0,70.0,70.0,1508.0,1400.0,2800.0,1330.0,314.4959964752197
stress,linear,d0,5,0.6460000038146972,0.02760435052391519,0.22520000338554383,0.02119434181350114,0.7125866711139679,15.755599880218506,304.0,100.0,0.0,404.0,2500.0,5000.0,200.0,599.5199966430664
stress,linear,fixed_heterogeneous,5,0.6479999899864197,0.05582114609135429,0.20799999982118605,0.05742821736608313,0.6895660787820816,14.226399803161621,304.0,100.0,0.0,404.0,2500.0,5000.0,200.0,599.5199966430664
stress,linear,scalar,5,0.6519999980926514,0.030364455547473284,0.22199999988079072,0.028213474999407236,0.7095107495784759,14.867199802398682,305.0,1.0,1.0,305.0,2500.0,5000.0,200.0,599.5199966430664
stress,linear,w_and_d,5,0.6444000005722046,0.01824280031665944,0.22439999878406525,0.03398234851381328,0.7141609132289887,14.01680030822754,404.0,100.0,100.0,404.0,2500.0,5000.0,200.0,599.5199966430664
