K,accuracy,arrival_auxiliary_weight,arrival_condition,balanced_accuracy,checkpoint_selection,collision_rate,complete,condition,correct_target_time_rate,delay_learning_rate,delay_tying,encoding,exact_interface_completion,exact_target_spike_train_matches,exact_truth_table_completion,final_delay_fraction_within_tolerance,final_delay_max_error_steps,final_delay_max_steps,final_delay_mean_steps,final_delay_min_steps,fixed_delay_steps,full_batch_updates,granularity,hidden_active_pattern_count,hidden_neurons,independent_delay_parameters,initial_delay_mean_steps,initial_raw,initial_task_arrival_gradient_conflict_fraction,initial_total_gradient_correct_coordinate_fraction,initial_total_gradient_nonzero_coordinate_fraction,initial_total_gradient_norm,input_events_per_trial,interface_pass,learned_delay,learned_delay_pass,mean_output_spikes_per_trial,operation,protocol_id,seed,silent_rate,stage,target_delay_steps,target_output_step,test_split_opened,weight_learning_rate
1,1.0,0.0,none,1.0,final_only,0.0,True,fixed_oracle_d4_microburst,1.0,0.0,pair,consecutive_microburst,True,4,True,1.0,0.0,4.0,4.0,4.0,4.0,500,fixed_pair_storage,4,16,64,4.0,,0.0,0.0,0.0,0.0,4,True,False,False,1.0,XOR,xor_delay_granularity_level1b_v1,607,0.0,stage_b_controls,4.0,15,False,0.01
1,1.0,0.0,none,1.0,final_only,0.0,True,fixed_oracle_d4_microburst,1.0,0.0,pair,consecutive_microburst,True,4,True,1.0,0.0,4.0,4.0,4.0,4.0,500,fixed_pair_storage,4,16,64,4.0,,0.0,0.0,0.0,0.0,4,True,False,False,1.0,XOR,xor_delay_granularity_level1b_v1,709,0.0,stage_b_controls,4.0,15,False,0.01
1,1.0,0.0,none,1.0,final_only,0.0,True,fixed_oracle_d4_microburst,1.0,0.0,pair,consecutive_microburst,True,4,True,1.0,0.0,4.0,4.0,4.0,4.0,500,fixed_pair_storage,4,16,64,4.0,,0.0,0.0,0.0,0.0,4,True,False,False,1.0,XOR,xor_delay_granularity_level1b_v1,811,0.0,stage_b_controls,4.0,15,False,0.01
1,1.0,0.0,none,1.0,final_only,0.0,True,fixed_oracle_d4_microburst,1.0,0.0,pair,consecutive_microburst,True,4,True,1.0,0.0,4.0,4.0,4.0,4.0,500,fixed_pair_storage,4,16,64,4.0,,0.0,0.0,0.0,0.0,4,True,False,False,1.0,XOR,xor_delay_granularity_level1b_v1,919,0.0,stage_b_controls,4.0,15,False,0.01
1,1.0,0.0,none,1.0,final_only,0.0,True,fixed_oracle_d4_microburst,1.0,0.0,pair,consecutive_microburst,True,4,True,1.0,0.0,4.0,4.0,4.0,4.0,500,fixed_pair_storage,4,16,64,4.0,,0.0,0.0,0.0,0.0,4,True,False,False,1.0,XOR,xor_delay_granularity_level1b_v1,1021,0.0,stage_b_controls,4.0,15,False,0.01
1,0.75,0.0,none,0.75,final_only,0.0,True,fixed_d0_microburst_delayed_target,0.0,0.0,pair,consecutive_microburst,False,0,False,0.0,4.0,0.0,0.0,0.0,0.0,500,fixed_pair_storage,4,16,64,0.0,,0.0,0.0,0.0,0.0,4,False,False,False,0.75,XOR,xor_delay_granularity_level1b_v1,607,0.25,stage_b_controls,4.0,15,False,0.01
1,0.75,0.0,none,0.75,final_only,0.0,True,fixed_d0_microburst_delayed_target,0.0,0.0,pair,consecutive_microburst,False,0,False,0.0,4.0,0.0,0.0,0.0,0.0,500,fixed_pair_storage,4,16,64,0.0,,0.0,0.0,0.0,0.0,4,False,False,False,0.25,XOR,xor_delay_granularity_level1b_v1,709,0.75,stage_b_controls,4.0,15,False,0.01
1,0.5,0.0,none,0.5,final_only,0.75,True,fixed_d0_microburst_delayed_target,0.0,0.0,pair,consecutive_microburst,False,0,False,0.0,4.0,0.0,0.0,0.0,0.0,500,fixed_pair_storage,4,16,64,0.0,,0.0,0.0,0.0,0.0,4,False,False,False,1.75,XOR,xor_delay_granularity_level1b_v1,811,0.0,stage_b_controls,4.0,15,False,0.01
1,0.75,0.0,none,0.75,final_only,0.25,True,fixed_d0_microburst_delayed_target,0.0,0.0,pair,consecutive_microburst,False,0,False,0.0,4.0,0.0,0.0,0.0,0.0,500,fixed_pair_storage,4,16,64,0.0,,0.0,0.0,0.0,0.0,4,False,False,False,1.25,XOR,xor_delay_granularity_level1b_v1,919,0.0,stage_b_controls,4.0,15,False,0.01
1,0.75,0.0,none,0.75,final_only,0.0,True,fixed_d0_microburst_delayed_target,0.0,0.0,pair,consecutive_microburst,False,0,False,0.0,4.0,0.0,0.0,0.0,0.0,500,fixed_pair_storage,4,16,64,0.0,,0.0,0.0,0.0,0.0,4,False,False,False,0.75,XOR,xor_delay_granularity_level1b_v1,1021,0.25,stage_b_controls,4.0,15,False,0.01
