run_path,seed,condition,observation_mode,readout_type,accuracy,worst_query_accuracy,exact_trial_accuracy,balanced_accuracy,trainable_parameters,model_scalar_storage_elements,delay_buffer_elements_per_sample,neuron_updates_per_trial,dense_synapse_macs_per_trial,decoder_weight_macs_per_trial,mean_synaptic_events_total
runs/canonical/xor_readout_interface_pilot_v1/XOR_d0_h50_K2_sw10_seed0_thr0.3,0,d0,late_window,mlp,0.48100000619888306,0.47200000286102295,0.23000000417232513,0.5,2752,2852,42,1500,3000,2600,301.200008392334
runs/canonical/xor_readout_interface_pilot_v1/XOR_d0_h50_K2_sw10_seed0_thr0.3_obsall_time,0,d0,all_time,mlp,1.0,1.0,1.0,1.0,2752,2852,42,1500,3000,2600,301.200008392334
runs/canonical/xor_readout_interface_pilot_v1/XOR_d0_h50_K2_sw10_seed0_thr0.3_obsall_time_rolinear,0,d0,all_time,linear,0.9664999842643738,0.9330000281333923,0.9330000281333923,0.9658163189888,202,302,42,1500,3000,100,301.200008392334
runs/canonical/xor_readout_interface_pilot_v1/XOR_d0_h50_K2_sw10_seed0_thr0.3_obstime_binned,0,d0,time_binned,mlp,1.0,1.0,1.0,1.0,23052,23152,42,1500,3000,22800,301.200008392334
runs/canonical/xor_readout_interface_pilot_v1/XOR_d0_h50_K2_sw10_seed0_thr0.3_obstime_binned_rolinear,0,d0,time_binned,linear,1.0,1.0,1.0,1.0,402,502,42,1500,3000,300,301.200008392334
runs/canonical/xor_readout_interface_pilot_v1/XOR_d0_h50_K2_sw10_seed0_thr0.3_rolinear,0,d0,late_window,linear,0.48100000619888306,0.47200000286102295,0.23000000417232513,0.5,202,302,42,1500,3000,100,301.200008392334
runs/canonical/xor_readout_interface_pilot_v1/XOR_d0_h50_K2_sw10_seed1_thr0.3,1,d0,late_window,mlp,0.49399998784065247,0.49300000071525574,0.24899999797344208,0.5,2752,2852,42,1500,3000,2600,298.4999895095825
runs/canonical/xor_readout_interface_pilot_v1/XOR_d0_h50_K2_sw10_seed1_thr0.3_obsall_time,1,d0,all_time,mlp,1.0,1.0,1.0,1.0,2752,2852,42,1500,3000,2600,298.4999895095825
runs/canonical/xor_readout_interface_pilot_v1/XOR_d0_h50_K2_sw10_seed1_thr0.3_obsall_time_rolinear,1,d0,all_time,linear,0.9004999995231628,0.8610000014305115,0.8009999990463257,0.9006924033164978,202,302,42,1500,3000,100,298.4999895095825
runs/canonical/xor_readout_interface_pilot_v1/XOR_d0_h50_K2_sw10_seed1_thr0.3_obstime_binned,1,d0,time_binned,mlp,1.0,1.0,1.0,1.0,23052,23152,42,1500,3000,22800,298.4999895095825
runs/canonical/xor_readout_interface_pilot_v1/XOR_d0_h50_K2_sw10_seed1_thr0.3_obstime_binned_rolinear,1,d0,time_binned,linear,1.0,1.0,1.0,1.0,402,502,42,1500,3000,300,298.4999895095825
runs/canonical/xor_readout_interface_pilot_v1/XOR_d0_h50_K2_sw10_seed1_thr0.3_rolinear,1,d0,late_window,linear,0.49900001287460327,0.49300000071525574,0.24400000274181366,0.5,202,302,42,1500,3000,100,298.4999895095825
runs/canonical/xor_readout_interface_pilot_v1/XOR_d0_h50_K2_sw10_seed42_thr0.3,42,d0,late_window,mlp,0.512499988079071,0.5049999952316284,0.2770000100135803,0.5,2752,2852,42,1500,3000,2600,299.8500108718872
runs/canonical/xor_readout_interface_pilot_v1/XOR_d0_h50_K2_sw10_seed42_thr0.3_obsall_time,42,d0,all_time,mlp,1.0,1.0,1.0,1.0,2752,2852,42,1500,3000,2600,299.8500108718872
runs/canonical/xor_readout_interface_pilot_v1/XOR_d0_h50_K2_sw10_seed42_thr0.3_obsall_time_rolinear,42,d0,all_time,linear,0.8774999976158142,0.7549999952316284,0.7549999952316284,0.8772836327552795,202,302,42,1500,3000,100,299.8500108718872
runs/canonical/xor_readout_interface_pilot_v1/XOR_d0_h50_K2_sw10_seed42_thr0.3_obstime_binned,42,d0,time_binned,mlp,1.0,1.0,1.0,1.0,23052,23152,42,1500,3000,22800,299.8500108718872
runs/canonical/xor_readout_interface_pilot_v1/XOR_d0_h50_K2_sw10_seed42_thr0.3_obstime_binned_rolinear,42,d0,time_binned,linear,1.0,1.0,1.0,1.0,402,502,42,1500,3000,300,299.8500108718872
runs/canonical/xor_readout_interface_pilot_v1/XOR_d0_h50_K2_sw10_seed42_thr0.3_rolinear,42,d0,late_window,linear,0.48750001192092896,0.47999998927116394,0.25200000405311584,0.5,202,302,42,1500,3000,100,299.8500108718872
runs/canonical/xor_readout_interface_pilot_v1/XOR_wad_h50_K2_sw10_seed0_thr0.3,0,w_and_d,late_window,mlp,0.9384999871253967,0.8769999742507935,0.8769999742507935,0.93970587849617,2852,2852,42,1500,3000,2600,301.200008392334
runs/canonical/xor_readout_interface_pilot_v1/XOR_wad_h50_K2_sw10_seed0_thr0.3_obsall_time,0,w_and_d,all_time,mlp,1.0,1.0,1.0,1.0,2852,2852,42,1500,3000,2600,301.200008392334
runs/canonical/xor_readout_interface_pilot_v1/XOR_wad_h50_K2_sw10_seed0_thr0.3_obsall_time_rolinear,0,w_and_d,all_time,linear,0.9480000138282776,0.9369999766349792,0.8960000276565552,0.9457129836082458,302,302,42,1500,3000,100,301.200008392334
runs/canonical/xor_readout_interface_pilot_v1/XOR_wad_h50_K2_sw10_seed0_thr0.3_obstime_binned,0,w_and_d,time_binned,mlp,1.0,1.0,1.0,1.0,23152,23152,42,1500,3000,22800,301.200008392334
runs/canonical/xor_readout_interface_pilot_v1/XOR_wad_h50_K2_sw10_seed0_thr0.3_obstime_binned_rolinear,0,w_and_d,time_binned,linear,1.0,1.0,1.0,1.0,502,502,42,1500,3000,300,301.200008392334
runs/canonical/xor_readout_interface_pilot_v1/XOR_wad_h50_K2_sw10_seed0_thr0.3_rolinear,0,w_and_d,late_window,linear,0.9079999923706055,0.8159999847412109,0.8159999847412109,0.9061224460601807,302,302,42,1500,3000,100,301.200008392334
runs/canonical/xor_readout_interface_pilot_v1/XOR_wad_h50_K2_sw10_seed1_thr0.3,1,w_and_d,late_window,mlp,0.7549999952316284,0.628000020980835,0.5099999904632568,0.753555417060852,2852,2852,42,1500,3000,2600,298.4999895095825
runs/canonical/xor_readout_interface_pilot_v1/XOR_wad_h50_K2_sw10_seed1_thr0.3_obsall_time,1,w_and_d,all_time,mlp,1.0,1.0,1.0,1.0,2852,2852,42,1500,3000,2600,298.4999895095825
runs/canonical/xor_readout_interface_pilot_v1/XOR_wad_h50_K2_sw10_seed1_thr0.3_obsall_time_rolinear,1,w_and_d,all_time,linear,0.8715000152587891,0.8610000014305115,0.7429999709129333,0.8719795346260071,302,302,42,1500,3000,100,298.4999895095825
runs/canonical/xor_readout_interface_pilot_v1/XOR_wad_h50_K2_sw10_seed1_thr0.3_obstime_binned,1,w_and_d,time_binned,mlp,1.0,1.0,1.0,1.0,23152,23152,42,1500,3000,22800,298.4999895095825
runs/canonical/xor_readout_interface_pilot_v1/XOR_wad_h50_K2_sw10_seed1_thr0.3_obstime_binned_rolinear,1,w_and_d,time_binned,linear,1.0,1.0,1.0,1.0,502,502,42,1500,3000,300,298.4999895095825
runs/canonical/xor_readout_interface_pilot_v1/XOR_wad_h50_K2_sw10_seed1_thr0.3_rolinear,1,w_and_d,late_window,linear,0.6165000200271606,0.49300000071525574,0.3580000102519989,0.618686854839325,302,302,42,1500,3000,100,298.4999895095825
runs/canonical/xor_readout_interface_pilot_v1/XOR_wad_h50_K2_sw10_seed42_thr0.3,42,w_and_d,late_window,mlp,0.762499988079071,0.675000011920929,0.5249999761581421,0.7615598738193512,2852,2852,42,1500,3000,2600,299.8500108718872
runs/canonical/xor_readout_interface_pilot_v1/XOR_wad_h50_K2_sw10_seed42_thr0.3_obsall_time,42,w_and_d,all_time,mlp,1.0,1.0,1.0,1.0,2852,2852,42,1500,3000,2600,299.8500108718872
runs/canonical/xor_readout_interface_pilot_v1/XOR_wad_h50_K2_sw10_seed42_thr0.3_obsall_time_rolinear,42,w_and_d,all_time,linear,0.9160000085830688,0.8320000171661377,0.8320000171661377,0.9173878133296967,302,302,42,1500,3000,100,299.8500108718872
runs/canonical/xor_readout_interface_pilot_v1/XOR_wad_h50_K2_sw10_seed42_thr0.3_obstime_binned,42,w_and_d,time_binned,mlp,1.0,1.0,1.0,1.0,23152,23152,42,1500,3000,22800,299.8500108718872
runs/canonical/xor_readout_interface_pilot_v1/XOR_wad_h50_K2_sw10_seed42_thr0.3_obstime_binned_rolinear,42,w_and_d,time_binned,linear,1.0,1.0,1.0,1.0,502,502,42,1500,3000,300,299.8500108718872
runs/canonical/xor_readout_interface_pilot_v1/XOR_wad_h50_K2_sw10_seed42_thr0.3_rolinear,42,w_and_d,late_window,linear,0.7914999723434448,0.7179999947547913,0.5830000042915344,0.7919824123382568,302,302,42,1500,3000,100,299.8500108718872
